stage_name,call_count,total_ms,mean_ms,min_ms,max_ms
ContextLoadingStage,14,72.22,5.16,3.83,12.52
UtteranceSavingStage,14,92.55,6.61,2.92,17.09
SRLPreprocessingStage,14,153.93,11.0,6.66,31.81
ExtractionStage,14,72585.7,5184.69,2551.55,8403.95
LLMPrefetchStage,14,20.39,1.46,0.34,15.29
GraphUpdateStage,14,1526.59,109.04,36.32,583.9
EdgeExtractionPrefetchStage,14,82.99,5.93,1.88,8.34
SlotDiscoveryStage,14,43805.17,3128.94,1549.36,4739.19
EdgeExtractionBridgeStage,14,83490.46,5963.6,1100.39,19734.54
LLMSignalBridgeStage,14,1060.88,75.78,0.33,510.2
StateComputationStage,14,58.6,4.19,3.01,7.12
StrategySelectionStage,14,540.18,38.58,23.31,129.5
ContinuationStage,14,4.43,0.32,0.22,0.83
QuestionGenerationStage,14,17932.5,1280.89,1001.19,1556.11
ResponseSavingStage,14,82.3,5.88,3.55,14.04
ScoringPersistenceStage,14,177.47,12.68,9.49,20.57
