turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,unknown,ascend,slot_153d53a09949,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_c6d60509dfbd,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_7eccc22095a3,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_668a2ee28780,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_f2eab82e83af,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_20942f5a384e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ascend,slot_645bd4ac9a7f,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
1,unknown,ground,slot_153d53a09949,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_c6d60509dfbd,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_7eccc22095a3,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_668a2ee28780,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_f2eab82e83af,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_20942f5a384e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,ground,slot_645bd4ac9a7f,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
1,unknown,probe_pain,slot_153d53a09949,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,probe_pain,slot_c6d60509dfbd,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,probe_pain,slot_7eccc22095a3,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,probe_pain,slot_668a2ee28780,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,probe_pain,slot_f2eab82e83af,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,probe_pain,slot_20942f5a384e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,probe_pain,slot_645bd4ac9a7f,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_153d53a09949,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_c6d60509dfbd,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_7eccc22095a3,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_668a2ee28780,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_f2eab82e83af,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_20942f5a384e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,anchor,slot_645bd4ac9a7f,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
1,unknown,elaborate,,,response.semantic.llm.engagement.trend.fatigued,False,-0.6,0.0,1.4,0.2,0.4,0.76,1,True,False,
1,unknown,elaborate,,,response.semantic.llm.engagement.trend.shallowing,False,-0.4,0.0,1.4,0.2,0.4,0.76,1,True,False,
1,unknown,elaborate,,,response.semantic.llm.engagement.mid,True,0.4,0.4,1.4,0.2,0.4,0.76,1,True,False,
1,unknown,elaborate,,,response.semantic.llm.engagement.low,False,-0.3,0.0,1.4,0.2,0.4,0.76,1,True,False,
1,unknown,elaborate,,,interview.strategy.self_count,0.0,-0.7,-0.0,1.4,0.2,0.4,0.76,1,True,False,
1,unknown,revitalize,,,response.semantic.llm.engagement.trend.fatigued,False,1.0,0.0,1.0,0.0,0.4,0.4,2,False,False,
1,unknown,revitalize,,,response.semantic.llm.engagement.trend.shallowing,False,0.8,0.0,1.0,0.0,0.4,0.4,2,False,False,
1,unknown,revitalize,,,response.semantic.llm.engagement.low,False,0.8,0.0,1.0,0.0,0.4,0.4,2,False,False,
1,unknown,revitalize,,,response.semantic.llm.engagement.mid,True,0.4,0.4,1.0,0.0,0.4,0.4,2,False,False,
1,unknown,revitalize,,,response.semantic.llm.engagement.high,False,-0.4,0.0,1.0,0.0,0.4,0.4,2,False,False,
1,unknown,revitalize,,,interview.strategy.self_count,0.0,-0.5,-0.0,1.0,0.0,0.4,0.4,2,False,False,
1,unknown,revitalize,,,interview.strategy.self_count.high,False,-1.0,0.0,1.0,0.0,0.4,0.4,2,False,False,
1,unknown,revitalize,,,interview.phase.late,False,-0.5,0.0,1.0,0.0,0.4,0.4,2,False,False,
1,unknown,validate,,,interview.phase.early,True,-3.0,-3.0,0.2,0.0,-2.1,-0.42,3,False,False,
1,unknown,validate,,,interview.phase.mid,False,-3.0,0.0,0.2,0.0,-2.1,-0.42,3,False,False,
1,unknown,validate,,,meta.saturation.conversation,0.0,0.3,0.0,0.2,0.0,-2.1,-0.42,3,False,False,
1,unknown,validate,,,meta.saturation.canonical,1.0,0.2,0.2,0.2,0.0,-2.1,-0.42,3,False,False,
1,unknown,validate,,,response.semantic.llm.certainty.low,False,1.0,0.0,0.2,0.0,-2.1,-0.42,3,False,False,
1,unknown,validate,,,response.semantic.llm.certainty.mid,True,0.7,0.7,0.2,0.0,-2.1,-0.42,3,False,False,
1,unknown,validate,,,response.semantic.llm.engagement.low,False,0.6,0.0,0.2,0.0,-2.1,-0.42,3,False,False,
1,unknown,validate,,,interview.strategy.self_count,0.0,-0.7,-0.0,0.2,0.0,-2.1,-0.42,3,False,False,
2,unknown,ascend,slot_153d53a09949,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_c6d60509dfbd,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_7eccc22095a3,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_668a2ee28780,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_f2eab82e83af,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_20942f5a384e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_645bd4ac9a7f,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_0b337e09cc0e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_b7d655783186,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ascend,slot_4b253d67e126,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.above
2,unknown,ground,slot_153d53a09949,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_c6d60509dfbd,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_7eccc22095a3,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_668a2ee28780,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_f2eab82e83af,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_20942f5a384e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_645bd4ac9a7f,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_0b337e09cc0e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_b7d655783186,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,ground,slot_4b253d67e126,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.chain.gap.below
2,unknown,probe_pain,slot_153d53a09949,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_c6d60509dfbd,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_7eccc22095a3,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_668a2ee28780,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_f2eab82e83af,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_20942f5a384e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_645bd4ac9a7f,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_0b337e09cc0e,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_b7d655783186,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,probe_pain,slot_4b253d67e126,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,anchor,slot_153d53a09949,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,anchor,slot_c6d60509dfbd,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,anchor,slot_7eccc22095a3,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,anchor,slot_668a2ee28780,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
2,unknown,anchor,slot_f2eab82e83af,,(gated),,,0,1.0,0.0,0.0,0.0,4,False,True,convgraph.node.is_orphan
