stage_name,call_count,total_ms,mean_ms,min_ms,max_ms
ContextLoadingStage,14,72.01,5.14,3.86,7.26
UtteranceSavingStage,14,84.43,6.03,2.74,28.63
SRLPreprocessingStage,14,143.2,10.23,7.69,23.44
ExtractionStage,14,70729.78,5052.13,2588.1,8152.95
LLMPrefetchStage,14,22.09,1.58,0.35,15.15
GraphUpdateStage,14,1600.72,114.34,33.85,674.84
EdgeExtractionPrefetchStage,14,89.01,6.36,2.74,11.47
SlotDiscoveryStage,14,42755.29,3053.95,1527.42,4844.85
EdgeExtractionBridgeStage,14,328752.13,23482.3,2426.07,57024.86
LLMSignalBridgeStage,14,8.6,0.61,0.21,1.73
StateComputationStage,14,78.95,5.64,3.01,10.18
StrategySelectionStage,14,503.23,35.95,26.07,51.67
ContinuationStage,14,4.01,0.29,0.22,0.53
QuestionGenerationStage,14,17667.6,1261.97,1000.8,1671.54
ResponseSavingStage,14,79.63,5.69,3.36,11.93
ScoringPersistenceStage,14,169.18,12.08,9.8,14.65
