module,model,call_count,total_latency_ms,mean_latency_ms,total_tokens_in,mean_tokens_in,total_tokens_out,mean_tokens_out,total_cost_usd
question_generation,claude-haiku-4-5,30,45172.56,1505.75,33734,1124.5,1313,43.8,0.040299
extraction,claude-sonnet-4-6,14,73023.08,5215.93,40820,2915.7,5002,357.3,0.19749
signal_scoring,claude-haiku-4-5,14,72185.6,5156.11,43212,3086.6,6948,496.3,0.077952
slot_scoring,claude-haiku-4-5,14,44381.17,3170.08,18398,1314.1,5874,419.6,0.047768
edge_extraction,claude-haiku-4-5,14,259699.2,18549.94,86117,6151.2,57844,4131.7,0.375337
