module,model,call_count,total_latency_ms,mean_latency_ms,total_tokens_in,mean_tokens_in,total_tokens_out,mean_tokens_out,total_cost_usd
question_generation,claude-haiku-4-5,30,44047.16,1468.24,33970,1132.3,1449,48.3,0.041215
extraction,claude-sonnet-4-6,14,73134.36,5223.88,40498,2892.7,5024,358.9,0.196854
slot_scoring,claude-haiku-4-5,14,43609.09,3114.93,18321,1308.6,5757,411.2,0.047106
edge_extraction,claude-haiku-4-5,13,126484.76,9729.6,51385,3952.7,29863,2297.2,0.2007
signal_scoring,claude-haiku-4-5,14,76543.22,5467.37,39028,2787.7,7867,561.9,0.078363
