turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,surface_tension,916d8db2-115b-4b62-8048-65a7bba56f25,at desk mid-afternoon,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.0,0.0,48,False,False,
1,early,surface_tension,916d8db2-115b-4b62-8048-65a7bba56f25,at desk mid-afternoon,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.0,0.0,48,False,False,
1,early,surface_tension,916d8db2-115b-4b62-8048-65a7bba56f25,at desk mid-afternoon,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.0,0.0,48,False,False,
1,early,surface_tension,916d8db2-115b-4b62-8048-65a7bba56f25,at desk mid-afternoon,response.semantic.llm.certainty.mid,False,0.2,0.0,1.0,0.0,0.0,0.0,48,False,False,
1,early,surface_tension,916d8db2-115b-4b62-8048-65a7bba56f25,at desk mid-afternoon,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.0,0.0,48,False,False,
1,early,surface_tension,e8e2a4d7-c1ac-4a1d-9c25-0745debe50ca,afternoon energy dip,convgraph.node.yield_stagnation.true,False,0.25,0.0,1.0,0.0,0.0,0.0,49,False,False,
1,early,surface_tension,e8e2a4d7-c1ac-4a1d-9c25-0745debe50ca,afternoon energy dip,convgraph.node.focus.count.medium,False,0.1,0.0,1.0,0.0,0.0,0.0,49,False,False,
1,early,surface_tension,e8e2a4d7-c1ac-4a1d-9c25-0745debe50ca,afternoon energy dip,response.semantic.llm.certainty.low,False,0.4,0.0,1.0,0.0,0.0,0.0,49,False,False,
1,early,surface_tension,e8e2a4d7-c1ac-4a1d-9c25-0745debe50ca,afternoon energy dip,response.semantic.llm.certainty.mid,False,0.2,0.0,1.0,0.0,0.0,0.0,49,False,False,
1,early,surface_tension,e8e2a4d7-c1ac-4a1d-9c25-0745debe50ca,afternoon energy dip,interview.strategy.self_count,0.0,-1.0,-0.0,1.0,0.0,0.0,0.0,49,False,False,
