turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,ascend,slot_96b846fa069e,,convgraph.node.recency,0.0,0.3,0.0,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_96b846fa069e,,convgraph.node.exhaustion,0.0,-0.6,-0.0,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_96b846fa069e,,convgraph.node.focus.count.high,False,-0.4,0.0,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_96b846fa069e,,convgraph.node.focus.count.medium,False,-0.2,0.0,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_96b846fa069e,,response.semantic.llm.engagement.low,False,-0.3,0.0,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_96b846fa069e,,convgraph.node.llm.elaboration.high,False,0.1,0.0,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_96b846fa069e,,convgraph.node.llm.charge.positive,False,0.1,0.0,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_96b846fa069e,,convgraph.node.llm.elaboration.low,True,0.15,0.15,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_96b846fa069e,,interview.strategy.self_count,0.0,-0.15,-0.0,1.0,0.0,0.15,0.15,17,False,False,
1,early,ascend,slot_2bf4b7229a0e,,convgraph.node.recency,0.0,0.3,0.0,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_2bf4b7229a0e,,convgraph.node.exhaustion,0.0,-0.6,-0.0,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_2bf4b7229a0e,,convgraph.node.focus.count.high,False,-0.4,0.0,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_2bf4b7229a0e,,convgraph.node.focus.count.medium,False,-0.2,0.0,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_2bf4b7229a0e,,response.semantic.llm.engagement.low,False,-0.3,0.0,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_2bf4b7229a0e,,convgraph.node.llm.elaboration.high,False,0.1,0.0,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_2bf4b7229a0e,,convgraph.node.llm.charge.positive,False,0.1,0.0,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_2bf4b7229a0e,,convgraph.node.llm.elaboration.low,True,0.15,0.15,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_2bf4b7229a0e,,interview.strategy.self_count,0.0,-0.15,-0.0,1.0,0.0,0.15,0.15,18,False,False,
1,early,ascend,slot_db98bb51f78b,,convgraph.node.recency,0.0,0.3,0.0,1.0,0.0,0.15,0.15,19,False,False,
1,early,ascend,slot_db98bb51f78b,,convgraph.node.exhaustion,0.0,-0.6,-0.0,1.0,0.0,0.15,0.15,19,False,False,
