stage_name,call_count,total_ms,mean_ms,min_ms,max_ms
ContextLoadingStage,5,39.68,7.94,6.74,8.48
UtteranceSavingStage,5,25.08,5.02,4.1,6.14
SRLPreprocessingStage,5,54.57,10.91,7.72,19.01
ExtractionStage,5,59990.25,11998.05,9393.36,17851.28
LLMPrefetchStage,5,18.53,3.71,0.34,16.78
GraphUpdateStage,5,1101.55,220.31,101.73,676.25
EdgeExtractionPrefetchStage,5,16.1,3.22,2.28,4.86
SlotDiscoveryStage,5,13271.28,2654.26,1688.64,4750.9
EdgeExtractionBridgeStage,5,1827.98,365.6,0.23,1454.49
LLMSignalBridgeStage,5,7920.25,1584.05,285.06,2453.39
StateComputationStage,5,38.23,7.65,6.8,8.2
StrategySelectionStage,5,227.92,45.58,37.78,53.17
ContinuationStage,5,1.48,0.3,0.21,0.54
QuestionGenerationStage,5,4469.97,893.99,0.15,1281.1
ResponseSavingStage,5,28.73,5.75,3.87,8.5
ScoringPersistenceStage,5,88.07,17.61,15.48,19.97
