stage_name,call_count,total_ms,mean_ms,min_ms,max_ms
ContextLoadingStage,9,36.02,4.0,3.1,6.06
UtteranceSavingStage,9,34.87,3.87,3.11,4.46
SRLPreprocessingStage,9,100.62,11.18,7.94,16.05
ExtractionStage,9,119629.25,13292.14,10585.43,17244.96
LLMPrefetchStage,9,18.27,2.03,0.27,15.22
GraphUpdateStage,9,1309.92,145.55,85.57,516.43
SlotDiscoveryStage,9,39658.53,4406.5,2489.15,7792.03
LLMSignalBridgeStage,9,5566.49,618.5,2.66,1894.0
StateComputationStage,9,30.65,3.41,2.81,4.09
StrategySelectionStage,9,168.49,18.72,17.36,19.23
ContinuationStage,9,1.59,0.18,0.13,0.34
QuestionGenerationStage,9,9729.63,1081.07,795.15,1421.97
ResponseSavingStage,9,59.86,6.65,3.23,12.61
ScoringPersistenceStage,9,108.48,12.05,9.55,14.6
