turn_number,phase,strategy,node_id,node_label,signal_name,signal_value,signal_weight,weighted_contribution,phase_multiplier,phase_bonus,base_score,final_score,rank,selected,gated,gate_signal
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.chain.gap.above.true,True,0.5,0.5,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.recency,0.0,0.3,0.0,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.novelty.high,True,0.25,0.25,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.focus.streak.none,True,0.3,0.3,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.focus.count.none,True,0.2,0.2,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.exhaustion,0.0,-0.6,-0.0,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.focus.count.high,False,-0.4,0.0,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.focus.count.medium,False,-0.2,0.0,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.chain.has_attribute_foundation.true,True,0.35,0.35,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,convgraph.node.chain.has_attribute_foundation.false,False,-0.5,0.0,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,response.semantic.llm.engagement.low,False,-0.3,0.0,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,3d1f8920-39d0-4f1b-af5e-4890a6ee6c7a,mid-afternoon at work,interview.strategy.self_count,0.0,-0.15,-0.0,1.0,0.0,1.6,1.6,3,False,False,
1,early,ascend,d6d40634-f429-449f-87c0-09bb48f4aff5,feeling sluggish mid-afternoon,convgraph.node.chain.gap.above.true,False,0.5,0.0,1.0,0.0,1.1,1.1,12,False,False,
